Demand for California (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389936&sdid=EBA.CAL-ALL.D.H
04:20:22 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.D.H megawatthours
08/1/2022 07H,37562
08/1/2022 06H,39868
08/1/2022 05H,40966
08/1/2022 04H,41454
08/1/2022 03H,42264
08/1/2022 02H,42443
08/1/2022 01H,41761
08/1/2022 00H,40252
07/31/2022 23H,38421
07/31/2022 22H,36462
07/31/2022 21H,36010
07/31/2022 20H,35538
07/31/2022 19H,34250
07/31/2022 18H,33250
07/31/2022 17H,31789
07/31/2022 16H,30413
07/31/2022 15H,29405
07/31/2022 14H,29137
07/31/2022 13H,29332
07/31/2022 12H,29784
07/31/2022 11H,30654
07/31/2022 10H,31726
07/31/2022 09H,33083
07/31/2022 08H,35091
07/31/2022 07H,37489
07/31/2022 06H,39972
07/31/2022 05H,41668
07/31/2022 04H,42688
07/31/2022 03H,43761
07/31/2022 02H,43864
07/31/2022 01H,42779
07/31/2022 00H,41071
07/30/2022 23H,38897
07/30/2022 22H,37323
07/30/2022 21H,36343
07/30/2022 20H,35013
07/30/2022 19H,34250
07/30/2022 18H,33393
07/30/2022 17H,32333
07/30/2022 16H,31043
07/30/2022 15H,29987
07/30/2022 14H,29556
07/30/2022 13H,29493
07/30/2022 12H,29680
07/30/2022 11H,30551
07/30/2022 10H,31801
07/30/2022 09H,33453
07/30/2022 08H,35553
07/30/2022 07H,37916
07/30/2022 06H,40678
07/30/2022 05H,42418
07/30/2022 04H,43819
07/30/2022 03H,45261
07/30/2022 02H,45742
07/30/2022 01H,45388
07/30/2022 00H,44106
07/29/2022 23H,42326
07/29/2022 22H,40745
07/29/2022 21H,39256
07/29/2022 20H,37229
07/29/2022 19H,36340
07/29/2022 18H,35264
07/29/2022 17H,34787
07/29/2022 16H,33681
07/29/2022 15H,31307
07/29/2022 14H,30173
07/29/2022 13H,29659
07/29/2022 12H,29769
07/29/2022 11H,30341
07/29/2022 10H,31393
07/29/2022 09H,32907
07/29/2022 08H,35053
07/29/2022 07H,38529
07/29/2022 06H,41419
07/29/2022 05H,43261
07/29/2022 04H,44640
07/29/2022 03H,45842
07/29/2022 02H,46037
07/29/2022 01H,45483
07/29/2022 00H,43997
07/28/2022 23H,42304
07/28/2022 22H,40426
07/28/2022 21H,37853
07/28/2022 20H,36463
07/28/2022 19H,35386
07/28/2022 18H,35024
07/28/2022 17H,34559
07/28/2022 16H,33571
07/28/2022 15H,31796
07/28/2022 14H,30603
07/28/2022 13H,29678
07/28/2022 12H,29962
07/28/2022 11H,30774
07/28/2022 10H,31559
07/28/2022 09H,32822
07/28/2022 08H,34979
07/28/2022 07H,38089
07/28/2022 06H,41353
07/28/2022 05H,43252
07/28/2022 04H,44680
07/28/2022 03H,45989
07/28/2022 02H,46142
07/28/2022 01H,45131
07/28/2022 00H,43642
07/27/2022 23H,41717
07/27/2022 22H,39795
07/27/2022 21H,37755
07/27/2022 20H,36007
07/27/2022 19H,35207
07/27/2022 18H,35484
07/27/2022 17H,34359
07/27/2022 16H,32819
07/27/2022 15H,31597
07/27/2022 14H,30416
07/27/2022 13H,29888
07/27/2022 12H,29950
07/27/2022 11H,30276
07/27/2022 10H,31308
07/27/2022 09H,32992
07/27/2022 08H,35171
07/27/2022 07H,38137
07/27/2022 06H,40916
07/27/2022 05H,43023
07/27/2022 04H,44616
07/27/2022 03H,45758
07/27/2022 02H,45936
07/27/2022 01H,45081
07/27/2022 00H,43560
07/26/2022 23H,41560
07/26/2022 22H,39486
07/26/2022 21H,37971
07/26/2022 20H,36606
07/26/2022 19H,35788
07/26/2022 18H,35562
07/26/2022 17H,35036
07/26/2022 16H,33781
07/26/2022 15H,32109
07/26/2022 14H,30822
07/26/2022 13H,29986
07/26/2022 12H,30251
07/26/2022 11H,30437
07/26/2022 10H,31443
07/26/2022 09H,32738
07/26/2022 08H,35128
07/26/2022 07H,38393
07/26/2022 06H,40960
07/26/2022 05H,42780
07/26/2022 04H,44246
07/26/2022 03H,45462
07/26/2022 02H,45457
07/26/2022 01H,44367
07/26/2022 00H,43112
07/25/2022 23H,41377
07/25/2022 22H,39815
07/25/2022 21H,37884
07/25/2022 20H,36604
07/25/2022 19H,35861
07/25/2022 18H,35386
07/25/2022 17H,34984
07/25/2022 16H,33321
07/25/2022 15H,31609
07/25/2022 14H,30131
07/25/2022 13H,29118
07/25/2022 12H,28810
07/25/2022 11H,29312
07/25/2022 10H,30030
07/25/2022 09H,31570
07/25/2022 08H,33673
07/25/2022 07H,36451
07/25/2022 06H,39227
07/25/2022 05H,41088
07/25/2022 04H,42442
07/25/2022 03H,43256
07/25/2022 02H,42731
07/25/2022 01H,41255
07/25/2022 00H,39327
07/24/2022 23H,37191
07/24/2022 22H,34924
07/24/2022 21H,32659
07/24/2022 20H,31486
07/24/2022 19H,31083
07/24/2022 18H,31144
07/24/2022 17H,30615
07/24/2022 16H,29499
07/24/2022 15H,28130
07/24/2022 14H,27848
07/24/2022 13H,27908
07/24/2022 12H,28470
07/24/2022 11H,29256
07/24/2022 10H,30520
07/24/2022 09H,32000
07/24/2022 08H,33900
07/24/2022 07H,36485
07/24/2022 06H,39131
07/24/2022 05H,41077
07/24/2022 04H,42270
07/24/2022 03H,43226
07/24/2022 02H,42964
07/24/2022 01H,41751
07/24/2022 00H,39701
07/23/2022 23H,37501
07/23/2022 22H,35515
07/23/2022 21H,33558
07/23/2022 20H,32578
07/23/2022 19H,32192
07/23/2022 18H,31975
07/23/2022 17H,31718
07/23/2022 16H,30745
07/23/2022 15H,29719
07/23/2022 14H,29421
07/23/2022 13H,29353
07/23/2022 12H,29668
07/23/2022 11H,30560
07/23/2022 10H,31843
07/23/2022 09H,33725
07/23/2022 08H,35688
07/23/2022 07H,38587
07/23/2022 06H,41655
07/23/2022 05H,43741
07/23/2022 04H,45641
07/23/2022 03H,47022
07/23/2022 02H,47322
07/23/2022 01H,46518
07/23/2022 00H,44997
07/22/2022 23H,43083
07/22/2022 22H,40871
07/22/2022 21H,39007
07/22/2022 20H,37813
07/22/2022 19H,36544
07/22/2022 18H,36180
07/22/2022 17H,35822
07/22/2022 16H,33948
07/22/2022 15H,31979
07/22/2022 14H,30699
07/22/2022 13H,30183
07/22/2022 12H,30222
07/22/2022 11H,30956
07/22/2022 10H,32312
07/22/2022 09H,34025
07/22/2022 08H,36143
07/22/2022 07H,39457
07/22/2022 06H,42872
07/22/2022 05H,45045
07/22/2022 04H,46755
07/22/2022 03H,48169
07/22/2022 02H,48578
07/22/2022 01H,47938
07/22/2022 00H,46702
07/21/2022 23H,44516
07/21/2022 22H,42197
07/21/2022 21H,40207
07/21/2022 20H,38407
07/21/2022 19H,37532
07/21/2022 18H,36775
07/21/2022 17H,36077
07/21/2022 16H,34470
07/21/2022 15H,32515
07/21/2022 14H,31315
07/21/2022 13H,30859
07/21/2022 12H,30828
07/21/2022 11H,31370
07/21/2022 10H,32466
07/21/2022 09H,34389
07/21/2022 08H,36843
07/21/2022 07H,40166
07/21/2022 06H,43594
07/21/2022 05H,45937
07/21/2022 04H,47828
07/21/2022 03H,49504
07/21/2022 02H,50060
07/21/2022 01H,49616
07/21/2022 00H,47957
07/20/2022 23H,45621
07/20/2022 22H,42986
07/20/2022 21H,40771
07/20/2022 20H,39473
07/20/2022 19H,38341
07/20/2022 18H,37255
07/20/2022 17H,36515
07/20/2022 16H,35128
07/20/2022 15H,33041
07/20/2022 14H,31971
07/20/2022 13H,31487
07/20/2022 12H,31525
07/20/2022 11H,32139
07/20/2022 10H,33547
07/20/2022 09H,35212
07/20/2022 08H,37670
07/20/2022 07H,40884
07/20/2022 06H,44653
07/20/2022 05H,47142
07/20/2022 04H,49202
07/20/2022 03H,50374
07/20/2022 02H,50655
07/20/2022 01H,49940
07/20/2022 00H,48541
07/19/2022 23H,46620
07/19/2022 22H,43677
07/19/2022 21H,42154
07/19/2022 20H,40494
07/19/2022 19H,38571
07/19/2022 18H,37896
07/19/2022 17H,37186
07/19/2022 16H,35276
07/19/2022 15H,32903
07/19/2022 14H,31652
07/19/2022 13H,31341
07/19/2022 12H,31545
07/19/2022 11H,32239
07/19/2022 10H,33470
07/19/2022 09H,35223
07/19/2022 08H,37906
07/19/2022 07H,40548
07/19/2022 06H,44098
07/19/2022 05H,46586
07/19/2022 04H,48666
07/19/2022 03H,50020
07/19/2022 02H,50195
07/19/2022 01H,49620
07/19/2022 00H,48736
07/18/2022 23H,47921
07/18/2022 22H,46014
07/18/2022 21H,44114
07/18/2022 20H,42460
07/18/2022 19H,40614
07/18/2022 18H,39235
07/18/2022 17H,37673
07/18/2022 16H,35606
07/18/2022 15H,33091
