Demand for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389946&sdid=EBA.SW-ALL.D.H
04:14:53 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.D.H megawatthours
08/1/2022 07H,9190
08/1/2022 06H,14740
08/1/2022 05H,15893
08/1/2022 04H,16632
08/1/2022 03H,17404
08/1/2022 02H,18404
08/1/2022 01H,19105
08/1/2022 00H,19259
07/31/2022 23H,19048
07/31/2022 22H,18341
07/31/2022 21H,17382
07/31/2022 20H,16488
07/31/2022 19H,15529
07/31/2022 18H,14606
07/31/2022 17H,13462
07/31/2022 16H,12555
07/31/2022 15H,11767
07/31/2022 14H,11259
07/31/2022 13H,11104
07/31/2022 12H,11163
07/31/2022 11H,11207
07/31/2022 10H,11510
07/31/2022 09H,11892
07/31/2022 08H,12344
07/31/2022 07H,12729
07/31/2022 06H,13503
07/31/2022 05H,14338
07/31/2022 04H,14971
07/31/2022 03H,15851
07/31/2022 02H,16846
07/31/2022 01H,18459
07/31/2022 00H,19209
07/30/2022 23H,19077
07/30/2022 22H,18995
07/30/2022 21H,18615
07/30/2022 20H,17697
07/30/2022 19H,16717
07/30/2022 18H,15644
07/30/2022 17H,14561
07/30/2022 16H,13591
07/30/2022 15H,12745
07/30/2022 14H,11998
07/30/2022 13H,11899
07/30/2022 12H,11947
07/30/2022 11H,12021
07/30/2022 10H,12129
07/30/2022 09H,12559
07/30/2022 08H,13100
07/30/2022 07H,13881
07/30/2022 06H,14764
07/30/2022 05H,15779
07/30/2022 04H,16546
07/30/2022 03H,17172
07/30/2022 02H,17699
07/30/2022 01H,18257
07/30/2022 00H,18578
07/29/2022 23H,18569
07/29/2022 22H,18139
07/29/2022 21H,17433
07/29/2022 20H,16678
07/29/2022 19H,15812
07/29/2022 18H,14935
07/29/2022 17H,14106
07/29/2022 16H,13351
07/29/2022 15H,12847
07/29/2022 14H,12285
07/29/2022 13H,12033
07/29/2022 12H,11733
07/29/2022 11H,11555
07/29/2022 10H,11664
07/29/2022 09H,11928
07/29/2022 08H,12340
07/29/2022 07H,13097
07/29/2022 06H,14019
07/29/2022 05H,14975
07/29/2022 04H,15710
07/29/2022 03H,15945
07/29/2022 02H,16052
07/29/2022 01H,16086
07/29/2022 00H,16181
07/28/2022 23H,16497
07/28/2022 22H,16578
07/28/2022 21H,16558
07/28/2022 20H,16371
07/28/2022 19H,15825
07/28/2022 18H,15187
07/28/2022 17H,14733
07/28/2022 16H,14229
07/28/2022 15H,13856
07/28/2022 14H,13411
07/28/2022 13H,13109
07/28/2022 12H,12696
07/28/2022 11H,12434
07/28/2022 10H,12589
07/28/2022 09H,12899
07/28/2022 08H,13441
07/28/2022 07H,14170
07/28/2022 06H,14860
07/28/2022 05H,15849
07/28/2022 04H,16680
07/28/2022 03H,17026
07/28/2022 02H,17156
07/28/2022 01H,17515
07/28/2022 00H,17626
07/27/2022 23H,17797
07/27/2022 22H,18015
07/27/2022 21H,17709
07/27/2022 20H,17278
07/27/2022 19H,16321
07/27/2022 18H,15335
07/27/2022 17H,14534
07/27/2022 16H,13966
07/27/2022 15H,13498
07/27/2022 14H,13032
07/27/2022 13H,12751
07/27/2022 12H,12401
07/27/2022 11H,12247
07/27/2022 10H,12433
07/27/2022 09H,12830
07/27/2022 08H,13376
07/27/2022 07H,14151
07/27/2022 06H,15020
07/27/2022 05H,16081
07/27/2022 04H,16603
07/27/2022 03H,17447
07/27/2022 02H,17931
07/27/2022 01H,18528
07/27/2022 00H,18929
07/26/2022 23H,18792
07/26/2022 22H,18550
07/26/2022 21H,17959
07/26/2022 20H,16978
07/26/2022 19H,15973
07/26/2022 18H,14984
07/26/2022 17H,14147
07/26/2022 16H,13466
07/26/2022 15H,12958
07/26/2022 14H,12522
07/26/2022 13H,12211
07/26/2022 12H,11927
07/26/2022 11H,11802
07/26/2022 10H,12030
07/26/2022 09H,12607
07/26/2022 08H,13307
07/26/2022 07H,14278
07/26/2022 06H,15440
07/26/2022 05H,16473
07/26/2022 04H,17622
07/26/2022 03H,18253
07/26/2022 02H,18823
07/26/2022 01H,19228
07/26/2022 00H,19447
07/25/2022 23H,19412
07/25/2022 22H,19225
07/25/2022 21H,18626
07/25/2022 20H,17903
07/25/2022 19H,17047
07/25/2022 18H,16069
07/25/2022 17H,15148
07/25/2022 16H,14331
07/25/2022 15H,13563
07/25/2022 14H,12940
07/25/2022 13H,12541
07/25/2022 12H,12258
07/25/2022 11H,12133
07/25/2022 10H,12280
07/25/2022 09H,12708
07/25/2022 08H,13269
07/25/2022 07H,14016
07/25/2022 06H,15135
07/25/2022 05H,16274
07/25/2022 04H,17180
07/25/2022 03H,17847
07/25/2022 02H,18499
07/25/2022 01H,18754
07/25/2022 00H,18650
07/24/2022 23H,18125
07/24/2022 22H,17648
07/24/2022 21H,17117
07/24/2022 20H,16626
07/24/2022 19H,15871
07/24/2022 18H,15006
07/24/2022 17H,14208
07/24/2022 16H,13626
07/24/2022 15H,13344
07/24/2022 14H,13331
07/24/2022 13H,13415
07/24/2022 12H,13736
07/24/2022 11H,13930
07/24/2022 10H,14267
07/24/2022 09H,14823
07/24/2022 08H,15438
07/24/2022 07H,16281
07/24/2022 06H,17465
07/24/2022 05H,18743
07/24/2022 04H,19994
07/24/2022 03H,20903
07/24/2022 02H,21806
07/24/2022 01H,22197
07/24/2022 00H,21954
07/23/2022 23H,21487
07/23/2022 22H,20844
07/23/2022 21H,20174
07/23/2022 20H,19332
07/23/2022 19H,18170
07/23/2022 18H,16782
07/23/2022 17H,15551
07/23/2022 16H,14821
07/23/2022 15H,14385
07/23/2022 14H,14253
07/23/2022 13H,14649
07/23/2022 12H,14941
07/23/2022 11H,15152
07/23/2022 10H,15521
07/23/2022 09H,16025
07/23/2022 08H,16728
07/23/2022 07H,17744
07/23/2022 06H,18750
07/23/2022 05H,19908
07/23/2022 04H,21155
07/23/2022 03H,22014
07/23/2022 02H,22678
07/23/2022 01H,23217
07/23/2022 00H,23822
07/22/2022 23H,23858
07/22/2022 22H,23350
07/22/2022 21H,22545
07/22/2022 20H,21582
07/22/2022 19H,20459
07/22/2022 18H,19075
07/22/2022 17H,17767
07/22/2022 16H,16643
07/22/2022 15H,15767
07/22/2022 14H,14917
07/22/2022 13H,14587
07/22/2022 12H,14426
07/22/2022 11H,14464
07/22/2022 10H,14867
07/22/2022 09H,15616
07/22/2022 08H,16491
07/22/2022 07H,17551
07/22/2022 06H,18955
07/22/2022 05H,20328
07/22/2022 04H,21692
07/22/2022 03H,22476
07/22/2022 02H,23225
07/22/2022 01H,23463
07/22/2022 00H,23300
07/21/2022 23H,22975
07/21/2022 22H,22337
07/21/2022 21H,21446
07/21/2022 20H,20361
07/21/2022 19H,19391
07/21/2022 18H,18077
07/21/2022 17H,17039
07/21/2022 16H,16300
07/21/2022 15H,15792
07/21/2022 14H,15094
07/21/2022 13H,14863
07/21/2022 12H,14690
07/21/2022 11H,14735
07/21/2022 10H,15166
07/21/2022 09H,15770
07/21/2022 08H,16554
07/21/2022 07H,17553
07/21/2022 06H,18879
07/21/2022 05H,20263
07/21/2022 04H,21706
07/21/2022 03H,22417
07/21/2022 02H,22888
07/21/2022 01H,23205
07/21/2022 00H,23063
07/20/2022 23H,22662
07/20/2022 22H,22401
07/20/2022 21H,21669
07/20/2022 20H,20592
07/20/2022 19H,19468
07/20/2022 18H,18511
07/20/2022 17H,17095
07/20/2022 16H,16115
07/20/2022 15H,15352
07/20/2022 14H,14799
07/20/2022 13H,14647
07/20/2022 12H,14526
07/20/2022 11H,14634
07/20/2022 10H,15055
07/20/2022 09H,15611
07/20/2022 08H,16315
07/20/2022 07H,17373
07/20/2022 06H,18757
07/20/2022 05H,20076
07/20/2022 04H,21493
07/20/2022 03H,22449
07/20/2022 02H,23314
07/20/2022 01H,23640
