Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
06/17/2022 11H,12429
06/17/2022 10H,11723
06/17/2022 09H,11562
06/17/2022 08H,11381
06/17/2022 07H,11456
06/17/2022 06H,11497
06/17/2022 05H,11425
06/17/2022 04H,12438
06/17/2022 03H,13734
06/17/2022 02H,15017
06/17/2022 01H,15675
06/17/2022 00H,16030
06/16/2022 23H,14491
06/16/2022 22H,14491
06/16/2022 21H,14029
06/16/2022 20H,13716
06/16/2022 19H,13743
06/16/2022 18H,13614
06/16/2022 17H,13380
06/16/2022 16H,13492
06/16/2022 15H,13572
06/16/2022 14H,13113
06/16/2022 13H,12998
06/16/2022 12H,12729
06/16/2022 11H,12105
06/16/2022 10H,11248
06/16/2022 09H,10811
06/16/2022 08H,10906
06/16/2022 07H,10810
06/16/2022 06H,11175
06/16/2022 05H,11733
06/16/2022 04H,12438
06/16/2022 03H,13734
06/16/2022 02H,15017
06/16/2022 01H,15675
06/16/2022 00H,16030
06/15/2022 23H,16396
06/15/2022 22H,16177
06/15/2022 21H,15423
06/15/2022 20H,14640
06/15/2022 19H,13983
06/15/2022 18H,13564
06/15/2022 17H,13262
06/15/2022 16H,13039
06/15/2022 15H,12834
06/15/2022 14H,12788
06/15/2022 13H,12863
06/15/2022 12H,13099
06/15/2022 11H,12485
06/15/2022 10H,11679
06/15/2022 09H,11429
06/15/2022 08H,11333
06/15/2022 07H,11547
06/15/2022 06H,11713
06/15/2022 05H,12134
06/15/2022 04H,12866
06/15/2022 03H,14238
06/15/2022 02H,15626
06/15/2022 01H,16389
06/15/2022 00H,16950
06/14/2022 23H,17116
06/14/2022 22H,16702
06/14/2022 21H,15944
06/14/2022 20H,14966
06/14/2022 19H,14261
06/14/2022 18H,13627
06/14/2022 17H,13104
06/14/2022 16H,12792
06/14/2022 15H,12578
06/14/2022 14H,12534
06/14/2022 13H,12552
06/14/2022 12H,12868
06/14/2022 11H,12574
06/14/2022 10H,12062
06/14/2022 09H,11653
06/14/2022 08H,11622
06/14/2022 07H,11732
06/14/2022 06H,12104
06/14/2022 05H,12429
06/14/2022 04H,13506
06/14/2022 03H,14676
06/14/2022 02H,16253
06/14/2022 01H,17238
06/14/2022 00H,17928
06/13/2022 23H,18262
06/13/2022 22H,17825
06/13/2022 21H,16870
06/13/2022 20H,16027
06/13/2022 19H,15425
06/13/2022 18H,15131
06/13/2022 17H,14756
06/13/2022 16H,14412
06/13/2022 15H,14113
06/13/2022 14H,13856
06/13/2022 13H,13759
06/13/2022 12H,13462
06/13/2022 11H,12570
06/13/2022 10H,11661
06/13/2022 09H,11489
06/13/2022 08H,11340
06/13/2022 07H,11405
06/13/2022 06H,11511
06/13/2022 05H,11590
06/13/2022 04H,12059
06/13/2022 03H,13038
06/13/2022 02H,14032
06/13/2022 01H,14501
06/13/2022 00H,14560
06/12/2022 23H,14530
06/12/2022 22H,14139
06/12/2022 21H,13600
06/12/2022 20H,12777
06/12/2022 19H,12313
06/12/2022 18H,12087
06/12/2022 17H,11733
06/12/2022 16H,11354
06/12/2022 15H,10880
06/12/2022 14H,10378
06/12/2022 13H,10065
06/12/2022 12H,9799
06/12/2022 11H,9911
06/12/2022 10H,9772
06/12/2022 09H,9840
06/12/2022 08H,9893
06/12/2022 07H,10113
06/12/2022 06H,10146
06/12/2022 05H,10724
06/12/2022 04H,11524
06/12/2022 03H,12468
06/12/2022 02H,13328
06/12/2022 01H,13689
06/12/2022 00H,13784
06/11/2022 23H,13724
06/11/2022 22H,13204
06/11/2022 21H,12485
06/11/2022 20H,12178
06/11/2022 19H,12026
06/11/2022 18H,11658
06/11/2022 17H,11236
06/11/2022 16H,11040
06/11/2022 15H,10762
06/11/2022 14H,10763
06/11/2022 13H,10773
06/11/2022 12H,10595
06/11/2022 11H,10313
06/11/2022 10H,10109
06/11/2022 09H,10037
06/11/2022 08H,10075
06/11/2022 07H,10285
06/11/2022 06H,10367
06/11/2022 05H,11119
06/11/2022 04H,12111
06/11/2022 03H,12963
06/11/2022 02H,13964
06/11/2022 01H,14437
06/11/2022 00H,14639
06/10/2022 23H,14869
06/10/2022 22H,14828
06/10/2022 21H,14175
06/10/2022 20H,13468
06/10/2022 19H,13085
06/10/2022 18H,12675
06/10/2022 17H,12426
06/10/2022 16H,12204
06/10/2022 15H,12172
06/10/2022 14H,12080
06/10/2022 13H,12036
06/10/2022 12H,12093
06/10/2022 11H,11947
06/10/2022 10H,11101
06/10/2022 09H,10902
06/10/2022 08H,10802
06/10/2022 07H,11006
06/10/2022 06H,11254
06/10/2022 05H,11229
06/10/2022 04H,12235
06/10/2022 03H,13545
06/10/2022 02H,14814
06/10/2022 01H,15498
06/10/2022 00H,16007
06/9/2022 23H,16317
06/9/2022 22H,16157
06/9/2022 21H,15587
06/9/2022 20H,15117
06/9/2022 19H,14811
06/9/2022 18H,14759
06/9/2022 17H,14511
06/9/2022 16H,14456
06/9/2022 15H,14439
06/9/2022 14H,14550
06/9/2022 13H,14335
06/9/2022 12H,13633
06/9/2022 11H,12539
06/9/2022 10H,11709
06/9/2022 09H,11496
06/9/2022 08H,11345
06/9/2022 07H,11375
06/9/2022 06H,11337
06/9/2022 05H,11852
06/9/2022 04H,12662
06/9/2022 03H,13963
06/9/2022 02H,15312
06/9/2022 01H,16072
06/9/2022 00H,16445
06/8/2022 23H,16681
06/8/2022 22H,16254
06/8/2022 21H,15308
06/8/2022 20H,14417
06/8/2022 19H,13990
06/8/2022 18H,13724
06/8/2022 17H,13614
06/8/2022 16H,13511
06/8/2022 15H,13736
06/8/2022 14H,13886
06/8/2022 13H,13945
06/8/2022 12H,13543
06/8/2022 11H,12506
06/8/2022 10H,11768
06/8/2022 09H,11444
06/8/2022 08H,11242
06/8/2022 07H,11289
06/8/2022 06H,11365
06/8/2022 05H,11508
06/8/2022 04H,12128
06/8/2022 03H,13271
06/8/2022 02H,14482
06/8/2022 01H,15108
06/8/2022 00H,15247
06/7/2022 23H,15412
06/7/2022 22H,15151
06/7/2022 21H,14432
06/7/2022 20H,14100
06/7/2022 19H,13745
06/7/2022 18H,13205
06/7/2022 17H,12749
06/7/2022 16H,12384
06/7/2022 15H,11880
06/7/2022 14H,11849
06/7/2022 13H,12103
06/7/2022 12H,12168
06/7/2022 11H,11541
06/7/2022 10H,10494
06/7/2022 09H,10506
06/7/2022 08H,10371
06/7/2022 07H,10531
06/7/2022 06H,10717
06/7/2022 05H,11203
06/7/2022 04H,11773
06/7/2022 03H,13000
06/7/2022 02H,14277
06/7/2022 01H,14975
06/7/2022 00H,15193
06/6/2022 23H,15311
06/6/2022 22H,15063
06/6/2022 21H,14263
06/6/2022 20H,13434
06/6/2022 19H,12816
06/6/2022 18H,12261
06/6/2022 17H,11662
06/6/2022 16H,11364
06/6/2022 15H,11209
06/6/2022 14H,11278
06/6/2022 13H,11501
