Demand for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389944&sdid=EBA.NW-ALL.D.H
04:14:35 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.D.H megawatthours
08/1/2022 07H,44682
08/1/2022 06H,40715
08/1/2022 05H,43697
08/1/2022 04H,53067
08/1/2022 03H,54804
08/1/2022 02H,56389
08/1/2022 01H,56937
08/1/2022 00H,56927
07/31/2022 23H,55930
07/31/2022 22H,55230
07/31/2022 21H,53973
07/31/2022 20H,52183
07/31/2022 19H,50282
07/31/2022 18H,47571
07/31/2022 17H,44626
07/31/2022 16H,41724
07/31/2022 15H,39193
07/31/2022 14H,37058
07/31/2022 13H,36479
07/31/2022 12H,36716
07/31/2022 11H,37229
07/31/2022 10H,38197
07/31/2022 09H,39639
07/31/2022 08H,42062
07/31/2022 07H,44226
07/31/2022 06H,47740
07/31/2022 05H,51062
07/31/2022 04H,53598
07/31/2022 03H,55553
07/31/2022 02H,57319
07/31/2022 01H,58593
07/31/2022 00H,58551
07/30/2022 23H,57657
07/30/2022 22H,56079
07/30/2022 21H,54314
07/30/2022 20H,52398
07/30/2022 19H,50028
07/30/2022 18H,47585
07/30/2022 17H,44834
07/30/2022 16H,41980
07/30/2022 15H,39390
07/30/2022 14H,37398
07/30/2022 13H,36538
07/30/2022 12H,36637
07/30/2022 11H,36987
07/30/2022 10H,37843
07/30/2022 09H,39335
07/30/2022 08H,41279
07/30/2022 07H,43979
07/30/2022 06H,47539
07/30/2022 05H,50833
07/30/2022 04H,53664
07/30/2022 03H,56123
07/30/2022 02H,58108
07/30/2022 01H,59025
07/30/2022 00H,59523
07/29/2022 23H,59316
07/29/2022 22H,58417
07/29/2022 21H,56741
07/29/2022 20H,54526
07/29/2022 19H,52305
07/29/2022 18H,50150
07/29/2022 17H,47775
07/29/2022 16H,45436
07/29/2022 15H,43026
07/29/2022 14H,40653
07/29/2022 13H,38852
07/29/2022 12H,37895
07/29/2022 11H,37873
07/29/2022 10H,38435
07/29/2022 09H,39891
07/29/2022 08H,41764
07/29/2022 07H,44408
07/29/2022 06H,47930
07/29/2022 05H,52079
07/29/2022 04H,55246
07/29/2022 03H,57148
07/29/2022 02H,58539
07/29/2022 01H,59242
07/29/2022 00H,59304
07/28/2022 23H,58773
07/28/2022 22H,57630
07/28/2022 21H,56032
07/28/2022 20H,54250
07/28/2022 19H,52041
07/28/2022 18H,49792
07/28/2022 17H,47681
07/28/2022 16H,45394
07/28/2022 15H,43290
07/28/2022 14H,41227
07/28/2022 13H,39381
07/28/2022 12H,38107
07/28/2022 11H,37928
07/28/2022 10H,38628
07/28/2022 09H,39913
07/28/2022 08H,41732
07/28/2022 07H,44660
07/28/2022 06H,48458
07/28/2022 05H,52473
07/28/2022 04H,55372
07/28/2022 03H,58119
07/28/2022 02H,59948
07/28/2022 01H,61123
07/28/2022 00H,61531
07/27/2022 23H,61240
07/27/2022 22H,59875
07/27/2022 21H,58198
07/27/2022 20H,55887
07/27/2022 19H,52637
07/27/2022 18H,50003
07/27/2022 17H,47563
07/27/2022 16H,45403
07/27/2022 15H,43073
07/27/2022 14H,40849
07/27/2022 13H,39025
07/27/2022 12H,37992
07/27/2022 11H,37795
07/27/2022 10H,38340
07/27/2022 09H,39679
07/27/2022 08H,41621
07/27/2022 07H,44233
07/27/2022 06H,47612
07/27/2022 05H,51633
07/27/2022 04H,54360
07/27/2022 03H,56436
07/27/2022 02H,58048
07/27/2022 01H,59013
07/27/2022 00H,59230
07/26/2022 23H,59021
07/26/2022 22H,58300
07/26/2022 21H,56612
07/26/2022 20H,54500
07/26/2022 19H,52057
07/26/2022 18H,49606
07/26/2022 17H,47217
07/26/2022 16H,44879
07/26/2022 15H,42442
07/26/2022 14H,39932
07/26/2022 13H,38082
07/26/2022 12H,37067
07/26/2022 11H,36668
07/26/2022 10H,37033
07/26/2022 09H,38367
07/26/2022 08H,40284
07/26/2022 07H,42869
07/26/2022 06H,46476
07/26/2022 05H,50279
07/26/2022 04H,53070
07/26/2022 03H,55179
07/26/2022 02H,56899
07/26/2022 01H,57881
07/26/2022 00H,57883
07/25/2022 23H,57195
07/25/2022 22H,56246
07/25/2022 21H,55161
07/25/2022 20H,53189
07/25/2022 19H,50811
07/25/2022 18H,48600
07/25/2022 17H,46155
07/25/2022 16H,43706
07/25/2022 15H,41541
07/25/2022 14H,39171
07/25/2022 13H,37297
07/25/2022 12H,36168
07/25/2022 11H,35582
07/25/2022 10H,35855
07/25/2022 09H,36720
07/25/2022 08H,38296
07/25/2022 07H,40746
07/25/2022 06H,44005
07/25/2022 05H,47428
07/25/2022 04H,49613
07/25/2022 03H,51274
07/25/2022 02H,52529
07/25/2022 01H,53224
07/25/2022 00H,52582
07/24/2022 23H,51169
07/24/2022 22H,49822
07/24/2022 21H,48662
07/24/2022 20H,47535
07/24/2022 19H,45717
07/24/2022 18H,43586
07/24/2022 17H,41469
07/24/2022 16H,39320
07/24/2022 15H,37133
07/24/2022 14H,35327
07/24/2022 13H,34631
07/24/2022 12H,34720
07/24/2022 11H,34957
07/24/2022 10H,35627
07/24/2022 09H,36752
07/24/2022 08H,38334
07/24/2022 07H,40571
07/24/2022 06H,43306
07/24/2022 05H,45975
07/24/2022 04H,47979
07/24/2022 03H,49667
07/24/2022 02H,51061
07/24/2022 01H,51714
07/24/2022 00H,51282
07/23/2022 23H,50663
07/23/2022 22H,50358
07/23/2022 21H,49612
07/23/2022 20H,48376
07/23/2022 19H,47214
07/23/2022 18H,45845
07/23/2022 17H,43862
07/23/2022 16H,41401
07/23/2022 15H,38647
07/23/2022 14H,36729
07/23/2022 13H,36083
07/23/2022 12H,35987
07/23/2022 11H,36228
07/23/2022 10H,36963
