Demand for New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389943&sdid=EBA.NY-ALL.D.H
12:50:26 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.D.H megawatthours
06/17/2022 11H,16995
06/17/2022 10H,15799
06/17/2022 09H,15322
06/17/2022 08H,15265
06/17/2022 07H,15495
06/17/2022 06H,15947
06/17/2022 05H,16619
06/17/2022 04H,18187
06/17/2022 03H,19624
06/17/2022 02H,20886
06/17/2022 01H,21487
06/17/2022 00H,22240
06/16/2022 23H,21568
06/16/2022 22H,21568
06/16/2022 21H,21695
06/16/2022 20H,21453
06/16/2022 19H,21166
06/16/2022 18H,20980
06/16/2022 17H,20693
06/16/2022 16H,20401
06/16/2022 15H,19955
06/16/2022 14H,19575
06/16/2022 13H,19169
06/16/2022 12H,18465
06/16/2022 11H,17208
06/16/2022 10H,15979
06/16/2022 09H,15414
06/16/2022 08H,15393
06/16/2022 07H,15697
06/16/2022 06H,16205
06/16/2022 05H,17024
06/16/2022 04H,18187
06/16/2022 03H,19624
06/16/2022 02H,20886
06/16/2022 01H,21487
06/16/2022 00H,22240
06/15/2022 23H,22915
06/15/2022 22H,23218
06/15/2022 21H,22853
06/15/2022 20H,22217
06/15/2022 19H,21563
06/15/2022 18H,21085
06/15/2022 17H,20555
06/15/2022 16H,20183
06/15/2022 15H,19571
06/15/2022 14H,18959
06/15/2022 13H,18329
06/15/2022 12H,17513
06/15/2022 11H,16201
06/15/2022 10H,14916
06/15/2022 09H,14522
06/15/2022 08H,14558
06/15/2022 07H,14897
06/15/2022 06H,15466
06/15/2022 05H,16302
06/15/2022 04H,17542
06/15/2022 03H,19120
06/15/2022 02H,20479
06/15/2022 01H,21173
06/15/2022 00H,21974
06/14/2022 23H,22355
06/14/2022 22H,22263
06/14/2022 21H,21605
06/14/2022 20H,20677
06/14/2022 19H,19923
06/14/2022 18H,19366
06/14/2022 17H,18768
06/14/2022 16H,18267
06/14/2022 15H,17966
06/14/2022 14H,17827
06/14/2022 13H,17565
06/14/2022 12H,16930
06/14/2022 11H,15898
06/14/2022 10H,14758
06/14/2022 09H,14341
06/14/2022 08H,14357
06/14/2022 07H,14683
06/14/2022 06H,15244
06/14/2022 05H,16101
06/14/2022 04H,17448
06/14/2022 03H,19146
06/14/2022 02H,20694
06/14/2022 01H,21492
06/14/2022 00H,22243
06/13/2022 23H,22811
06/13/2022 22H,22910
06/13/2022 21H,22554
06/13/2022 20H,21807
06/13/2022 19H,21248
06/13/2022 18H,21071
06/13/2022 17H,20698
06/13/2022 16H,20042
06/13/2022 15H,19514
06/13/2022 14H,18916
06/13/2022 13H,18282
06/13/2022 12H,17370
06/13/2022 11H,16002
06/13/2022 10H,14742
06/13/2022 09H,14122
06/13/2022 08H,13978
06/13/2022 07H,14140
06/13/2022 06H,14523
06/13/2022 05H,15077
06/13/2022 04H,15900
06/13/2022 03H,16918
06/13/2022 02H,17679
06/13/2022 01H,17856
06/13/2022 00H,17911
06/12/2022 23H,17920
06/12/2022 22H,17674
06/12/2022 21H,17210
06/12/2022 20H,16802
06/12/2022 19H,16367
06/12/2022 18H,16198
06/12/2022 17H,16007
06/12/2022 16H,15668
06/12/2022 15H,15302
06/12/2022 14H,14735
06/12/2022 13H,14155
06/12/2022 12H,13559
06/12/2022 11H,13107
06/12/2022 10H,12993
06/12/2022 09H,13045
06/12/2022 08H,13196
06/12/2022 07H,13474
06/12/2022 06H,13940
06/12/2022 05H,14563
06/12/2022 04H,15397
06/12/2022 03H,16308
06/12/2022 02H,17035
06/12/2022 01H,17287
06/12/2022 00H,17532
06/11/2022 23H,17532
06/11/2022 22H,17335
06/11/2022 21H,17115
06/11/2022 20H,17117
06/11/2022 19H,17027
06/11/2022 18H,16850
06/11/2022 17H,16871
06/11/2022 16H,16592
06/11/2022 15H,16180
06/11/2022 14H,15630
06/11/2022 13H,15038
06/11/2022 12H,14442
06/11/2022 11H,13882
06/11/2022 10H,13635
06/11/2022 09H,13628
06/11/2022 08H,13750
06/11/2022 07H,14072
06/11/2022 06H,14547
06/11/2022 05H,15275
06/11/2022 04H,16284
