Actual Net Interchange for New England (region) to New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390279&sdid=EBA.NE-NY.ID.H
14:48:25 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-NY.ID.H megawatthours
06/15/2022 04H,54
06/15/2022 03H,164
06/15/2022 02H,272
06/15/2022 01H,364
06/15/2022 00H,420
06/14/2022 23H,522
06/14/2022 22H,589
06/14/2022 21H,629
06/14/2022 20H,788
06/14/2022 19H,650
06/14/2022 18H,725
06/14/2022 17H,556
06/14/2022 16H,494
06/14/2022 15H,783
06/14/2022 14H,778
06/14/2022 13H,543
06/14/2022 12H,366
06/14/2022 11H,-96
06/14/2022 10H,-156
06/14/2022 09H,-91
06/14/2022 08H,39
06/14/2022 07H,79
06/14/2022 06H,-198
06/14/2022 05H,-72
06/14/2022 04H,-454
06/14/2022 03H,-112
06/14/2022 02H,-4
06/14/2022 01H,-80
06/14/2022 00H,412
06/13/2022 23H,456
06/13/2022 22H,892
06/13/2022 21H,827
06/13/2022 20H,608
06/13/2022 19H,391
06/13/2022 18H,265
06/13/2022 17H,247
06/13/2022 16H,-12
06/13/2022 15H,-318
06/13/2022 14H,-511
06/13/2022 13H,-905
06/13/2022 12H,-947
06/13/2022 11H,-823
06/13/2022 10H,-1023
06/13/2022 09H,-1083
06/13/2022 08H,-888
06/13/2022 07H,-915
06/13/2022 06H,-994
06/13/2022 05H,-768
06/13/2022 04H,-464
06/13/2022 03H,-45
06/13/2022 02H,262
06/13/2022 01H,159
06/13/2022 00H,6
06/12/2022 23H,67
06/12/2022 22H,232
06/12/2022 21H,255
06/12/2022 20H,212
06/12/2022 19H,172
06/12/2022 18H,103
06/12/2022 17H,458
06/12/2022 16H,458
06/12/2022 15H,747
06/12/2022 14H,478
06/12/2022 13H,334
06/12/2022 12H,284
06/12/2022 11H,97
06/12/2022 10H,-19
06/12/2022 09H,-124
06/12/2022 08H,-114
06/12/2022 07H,-51
06/12/2022 06H,-46
06/12/2022 05H,144
06/12/2022 04H,169
06/12/2022 03H,99
06/12/2022 02H,123
06/12/2022 01H,54
06/12/2022 00H,101
06/11/2022 23H,233
06/11/2022 22H,300
06/11/2022 21H,217
06/11/2022 20H,238
06/11/2022 19H,346
06/11/2022 18H,345
06/11/2022 17H,449
06/11/2022 16H,422
06/11/2022 15H,346
06/11/2022 14H,331
06/11/2022 13H,369
06/11/2022 12H,424
06/11/2022 11H,411
06/11/2022 10H,389
06/11/2022 09H,519
06/11/2022 08H,516
06/11/2022 07H,493
06/11/2022 06H,501
06/11/2022 05H,196
06/11/2022 04H,226
06/11/2022 03H,181
06/11/2022 02H,186
06/11/2022 01H,-45
06/11/2022 00H,77
06/10/2022 23H,16
06/10/2022 22H,-80
06/10/2022 21H,-70
06/10/2022 20H,422
06/10/2022 19H,385
06/10/2022 18H,339
06/10/2022 17H,506
06/10/2022 16H,360
06/10/2022 15H,167
06/10/2022 14H,-54
06/10/2022 13H,83
06/10/2022 12H,65
06/10/2022 11H,-16
06/10/2022 10H,23
06/10/2022 09H,276
06/10/2022 08H,244
06/10/2022 07H,201
06/10/2022 06H,248
06/10/2022 05H,291
06/10/2022 04H,-97
06/10/2022 03H,-140
06/10/2022 02H,-70
06/10/2022 01H,-317
06/10/2022 00H,-336
06/9/2022 23H,-537
06/9/2022 22H,-466
06/9/2022 21H,-298
06/9/2022 20H,36
06/9/2022 19H,69
06/9/2022 18H,210
06/9/2022 17H,281
06/9/2022 16H,132
06/9/2022 15H,53
06/9/2022 14H,204
06/9/2022 13H,74
06/9/2022 12H,46
06/9/2022 11H,174
06/9/2022 10H,219
06/9/2022 09H,270
06/9/2022 08H,200
06/9/2022 07H,219
06/9/2022 06H,272
06/9/2022 05H,254
06/9/2022 04H,391
06/9/2022 03H,373
06/9/2022 02H,318
06/9/2022 01H,-191
06/9/2022 00H,-225
06/8/2022 23H,-107
06/8/2022 22H,284
06/8/2022 21H,693
06/8/2022 20H,757
06/8/2022 19H,765
06/8/2022 18H,659
06/8/2022 17H,435
06/8/2022 16H,314
06/8/2022 15H,60
06/8/2022 14H,13
06/8/2022 13H,-98
06/8/2022 12H,195
06/8/2022 11H,259
06/8/2022 10H,52
06/8/2022 09H,73
06/8/2022 08H,119
06/8/2022 07H,275
06/8/2022 06H,162
06/8/2022 05H,103
06/8/2022 04H,14
06/8/2022 03H,29
06/8/2022 02H,-153
06/8/2022 01H,-128
06/8/2022 00H,-186
06/7/2022 23H,-48
06/7/2022 22H,-60
06/7/2022 21H,-217
06/7/2022 20H,54
06/7/2022 19H,225
06/7/2022 18H,200
06/7/2022 17H,196
06/7/2022 16H,165
06/7/2022 15H,238
06/7/2022 14H,177
06/7/2022 13H,-197
06/7/2022 12H,-416
06/7/2022 11H,-204
06/7/2022 10H,-277
06/7/2022 09H,-365
06/7/2022 08H,-357
06/7/2022 07H,-201
06/7/2022 06H,-158
06/7/2022 05H,-374
06/7/2022 04H,-232
06/7/2022 03H,6
06/7/2022 02H,-15
06/7/2022 01H,-58
06/7/2022 00H,283
06/6/2022 23H,76
06/6/2022 22H,668
06/6/2022 21H,751
06/6/2022 20H,740
06/6/2022 19H,1118
06/6/2022 18H,889
06/6/2022 17H,883
06/6/2022 16H,757
06/6/2022 15H,654
06/6/2022 14H,584
06/6/2022 13H,259
06/6/2022 12H,81
06/6/2022 11H,-139
06/6/2022 10H,-328
06/6/2022 09H,66
06/6/2022 08H,266
06/6/2022 07H,290
